episode,coverage,steps,forward_actions,repeat_forwards,unique_per_forward,health_loss,survived,shaped_reward,loss,policy_loss,value_loss,imitation_loss,approx_kl,teacher_weight,imitation_weight,eval_coverage,eval_coverage_p10,eval_unique_per_forward,eval_survived
85,0.7555555555555555,212.0,175.0,6.0,0.9657142857142857,16.0,0.0,162.64331905937166,nan,nan,nan,nan,nan,10.98,0.7320000000000001,nan,nan,nan,nan
86,0.6444444444444445,191.0,152.0,8.0,0.9473684210526315,14.0,0.0,137.80703145122527,nan,nan,nan,nan,nan,10.968,0.7312000000000001,nan,nan,nan,nan
87,0.7155555555555555,199.0,166.0,6.0,0.963855421686747,16.0,0.0,153.61529805326458,nan,nan,nan,nan,nan,10.956,0.7304,nan,nan,nan,nan
88,0.7333333333333333,209.0,175.0,11.0,0.9371428571428572,16.0,0.0,156.0297346668243,nan,nan,nan,nan,nan,10.944,0.7296,nan,nan,nan,nan
89,0.7377777777777778,209.0,177.0,12.0,0.9322033898305084,16.0,0.0,156.91644979715335,nan,nan,nan,nan,nan,10.932,0.7288000000000001,nan,nan,nan,nan
90,0.7511111111111111,208.0,175.0,7.0,0.96,16.0,0.0,161.40465362691884,nan,nan,nan,nan,nan,10.92,0.7280000000000001,nan,nan,nan,nan
91,0.6044444444444445,168.0,142.0,7.0,0.9507042253521126,14.0,0.0,129.22934399843226,nan,nan,nan,nan,nan,10.908000000000001,0.7272000000000001,nan,nan,nan,nan
92,0.6533333333333333,192.0,159.0,13.0,0.9182389937106918,16.0,0.0,137.52344207525255,nan,nan,nan,nan,nan,10.896,0.7264,nan,nan,nan,nan
93,0.7022222222222222,189.0,163.0,6.0,0.9631901840490797,15.0,0.0,151.02543285465245,nan,nan,nan,nan,nan,10.884,0.7256,nan,nan,nan,nan
94,0.6755555555555556,192.0,162.0,11.0,0.9320987654320988,15.0,0.0,143.5658451476097,nan,nan,nan,nan,nan,10.872,0.7248000000000001,nan,nan,nan,nan
95,0.6977777777777778,193.0,162.0,6.0,0.9629629629629629,15.0,0.0,150.02843893289554,nan,nan,nan,nan,nan,10.86,0.7240000000000001,nan,nan,nan,nan
