result_file,map_size,decision_family,approach,artifact_kind,bytes
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_v3_smoke/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_v3_smoke,training_metric,7902
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_v3_trial100/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_v3_trial100,configuration,3321
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_v3_trial100/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_v3_trial100,training_metric,81637
15x15/model_based/archived_direct_action_rl/runs_r2d2_v1/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_r2d2_v1,configuration,3807
15x15/model_based/archived_direct_action_rl/runs_r2d2_v1/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_r2d2_v1,training_metric,813763
15x15/model_based/archived_direct_action_rl/runs_r2d2_v1_smoke/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_r2d2_v1_smoke,configuration,3809
15x15/model_based/archived_direct_action_rl/runs_r2d2_v1_smoke/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_r2d2_v1_smoke,training_metric,14305
15x15/model_based/archived_direct_action_rl/runs_r2d2_v1_smoke_fix1/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_r2d2_v1_smoke_fix1,configuration,3814
15x15/model_based/archived_direct_action_rl/runs_r2d2_v1_smoke_fix1/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_r2d2_v1_smoke_fix1,training_metric,18957
15x15/model_based/archived_direct_action_rl/runs_r2d2_v2/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_r2d2_v2,configuration,4220
15x15/model_based/archived_direct_action_rl/runs_r2d2_v2/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_r2d2_v2,training_metric,261107
15x15/model_based/archived_direct_action_rl/runs_r2d2_v2_trial120/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_r2d2_v2_trial120,configuration,4226
15x15/model_based/archived_direct_action_rl/runs_r2d2_v2_trial120/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_r2d2_v2_trial120,training_metric,86114
15x15/model_based/dqn/goal_conditioned_memory_dqn/long_training_run/train_config.txt,15x15,model_based,dqn/goal_conditioned_memory_dqn/long_training_run,configuration,2269
15x15/model_based/dqn/goal_conditioned_memory_dqn/long_training_run/training_log.csv,15x15,model_based,dqn/goal_conditioned_memory_dqn/long_training_run,training_metric,309351
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/diverse_expert.config.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,configuration,5254
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/diverse_expert.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,supporting_result,2950
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke.config.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,configuration,2148
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,supporting_result,1069
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_analysis/failure_analysis.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_analysis,analysis,10209
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_analysis/failure_cases.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_analysis,analysis,1377
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_analysis/report.md,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_analysis,analysis,2025
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_baseline.config.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,configuration,1811
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_baseline.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,supporting_result,1042
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_paired_analysis/failure_analysis.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_paired_analysis,analysis,11539
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_paired_analysis/failure_cases.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_paired_analysis,analysis,1508
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_paired_analysis/report.md,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/neural_trace_smoke_paired_analysis,analysis,2549
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/standard_analysis/failure_analysis.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/standard_analysis,analysis,10845
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/standard_analysis/failure_cases.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/standard_analysis,analysis,51094
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/standard_analysis/report.md,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/standard_analysis,analysis,4583
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/standard_endpoint_snapshot_analysis/failure_analysis.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/standard_endpoint_snapshot_analysis,analysis,10723
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/standard_endpoint_snapshot_analysis/failure_cases.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/standard_endpoint_snapshot_analysis,analysis,14605
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/standard_endpoint_snapshot_analysis/report.md,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/standard_endpoint_snapshot_analysis,analysis,4110
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/standard_expert.config.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,configuration,1457
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/standard_expert.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,supporting_result,9383
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/standard_results.config.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,configuration,1808
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/standard_results.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,supporting_result,34861
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke.config.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,configuration,1538
