episode,global_step,epsilon,reward,coverage,final_health,length,new_tile_rate,revisit_rate,wall_hit_rate,turn_streak_rate,hazard_contact_rate,action_forward_rate,action_left_rate,action_right_rate,max_no_new_tile_streak,stagnation_step_rate,coverage_gain_25,turn_oscillation_rate,forward_after_turn_success_rate,coverage_at_step_50,coverage_at_step_100,coverage_at_step_150,mean_loss,mean_q_loss,mean_aux_loss,aux_weight,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,eval_soft_score
21,3116,0.9671088888888889,-1.9047731091976168,0.36,0,138,0.5797101449275363,0.014492753623188406,0.07246376811594203,0.007246376811594203,0.0,0.6666666666666666,0.17391304347826086,0.15942028985507245,6.0,0.007246376811594203,0.06404558404558404,0.0,0.9111111111111111,0.1511111111111111,0.27555555555555555,nan,0.03387188762426376,0.013424318563193084,0.13874516785144805,0.147375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,3207,0.9661483333333334,-15.000545574665066,0.10222222222222223,0,91,0.24175824175824176,0.0,0.45054945054945056,0.03296703296703297,0.01098901098901099,0.6923076923076923,0.15384615384615385,0.15384615384615385,39.0,0.5054945054945055,0.028194444444444446,0.0,0.4,0.06666666666666667,nan,nan,0.030812379159033298,0.011351350974291564,0.1321631833910942,0.14725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,3400,0.9661315226337449,-15.22216191196442,0.28888888888888886,0,193,0.3316062176165803,0.010362694300518135,0.35233160621761656,0.05181347150259067,0.0,0.694300518134715,0.13471502590673576,0.17098445595854922,32.0,0.3005181347150259,0.0357716049382716,0.0,0.673469387755102,0.1511111111111111,0.23555555555555555,0.28,0.030415556766092776,0.010526574682444334,0.1351842425763607,0.147125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,3532,0.9663079176954732,-4.496518635749818,0.28,0,132,0.4696969696969697,0.007575757575757576,0.21212121212121213,0.03787878787878788,0.007575757575757576,0.6893939393939394,0.1590909090909091,0.15151515151515152,11.0,0.08333333333333333,0.04783068783068784,0.007575757575757576,0.8055555555555556,0.12444444444444444,0.26222222222222225,nan,0.027999133616685868,0.008636550884693861,0.13171824738383292,0.147,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,3704,0.9702856888888889,-21.802764180183413,0.32,0,172,0.4127906976744186,0.005813953488372093,0.3081395348837209,0.05813953488372093,0.0,0.7267441860465116,0.11627906976744186,0.1569767441860465,61.0,0.3430232558139535,0.04507936507936507,0.0,0.7027027027027027,0.17333333333333334,0.29333333333333333,0.32,0.023948534578084945,0.006942129926756024,0.11578829288482666,0.146875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,3851,0.9593505555555556,-7.552558052062986,0.32,0,147,0.48299319727891155,0.027210884353741496,0.2108843537414966,0.027210884353741496,0.0,0.7210884353741497,0.1292517006802721,0.14965986394557823,21.0,0.1360544217687075,0.053703703703703705,0.0,0.7837837837837838,0.06666666666666667,0.20444444444444446,nan,0.02381193358451128,0.007075556414201855,0.11404685974121094,0.14675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,4031,0.9615731239506173,-6.854235438346867,0.4,0,180,0.49444444444444446,0.022222222222222223,0.20555555555555555,0.03333333333333333,0.0,0.7222222222222222,0.10555555555555556,0.17222222222222222,22.0,0.15,0.04944444444444445,0.0,0.6818181818181818,0.09333333333333334,0.24,0.3377777777777778,0.023203172907233238,0.00796195026487112,0.1039469599723816,0.146625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,4162,0.9560677777777777,-2.2347154793739303,0.3422222222222222,0,131,0.5801526717557252,0.0,0.1297709923664122,0.03816793893129771,0.007633587786259542,0.7099236641221374,0.12213740458015267,0.16793893129770993,8.0,0.05343511450381679,0.06567901234567901,0.007633587786259542,0.8787878787878788,0.12444444444444444,0.24,nan,0.019553298875689507,0.007506253337487579,0.08223238810896874,0.1465,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,4249,0.957342138271605,-4.340624828338624,0.19555555555555557,0,87,0.4942528735632184,0.0,0.13793103448275862,0.10344827586206896,0.011494252873563218,0.632183908045977,0.1724137931034483,0.19540229885057472,8.0,0.034482758620689655,0.051388888888888894,0.0,0.8260869565217391,0.12,nan,nan,0.018621693830937147,0.007782416138797999,0.07405142523348332,0.146375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,4408,0.9646380444444445,-60.30499999999999,0.15555555555555556,0,159,0.2138364779874214,0.018867924528301886,0.5534591194968553,0.06289308176100629,0.0,0.7861635220125787,0.1069182389937107,0.1069182389937107,106.0,0.6352201257861635,0.02158730158730159,0.0,0.5416666666666666,0.14666666666666667,0.15555555555555556,0.15555555555555556,0.019434507377445696,0.007280674949288368,0.08310313038527965,0.14625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
