seed,environment_set,environment_variant,coverage,seen_fraction,termination_status,end_reason,actions,forward_actions,turns,replans,phase2_reached,phase2_start_step,plan_count,model_plan_count,expert_plan_count,fallback_count,fallback_rate,fallback_reasons,divergence_comparisons,target_divergences,target_divergence_rate,planned_action_count,trace_step_count,route_planned_to_executed_ratio,target_switches,forward_move_success_rate,initial_energy,final_energy,energy_delta,initial_health,final_health,health_delta,fatigue_health_loss,hazard_entries,direct_hazard_health_loss,contacts,wall_bumps,time_energy_cost_total,forward_energy_cost_total,turn_energy_cost_total,thermal_energy_cost_total,meat_health_restored,meat_health_wasted,coverage_per_action,coverage_per_forward_action,seen_per_forward_action,plans_per_100_actions,baseline_coverage,coverage_delta,baseline_seen_fraction,seen_delta,failure_score,failure_reasons
20074,standard,standard,0.5555555555555556,0.9466666666666667,terminated,health_zero_fatigue,205,164,41,56,True,45,57,0,57,0,0.0,{},36,0,0.0,475,205,2.317073170731707,37,1.0,10.0,9.58474202156067,0.41525797843933,10.0,0.0,10.0,15.0,0,0.0,"{""Empty"": 200, ""Flower"": 2, ""Meat"": 3}",0,41.00000000000004,98.39999999999978,4.100000000000001,6.915257978439329,5.0,1.0,0.0027100271002710027,0.0033875338753387536,0.005772357723577236,27.804878048780488,,,,,7,"[""terminated"", ""fatigue_health_loss"", ""bottom_seen_quintile""]"
20040,standard,standard,0.5644444444444444,0.9688888888888889,terminated,health_zero_fatigue,177,144,33,89,True,77,90,0,90,0,0.0,{},63,0,0.0,801,177,4.52542372881356,50,1.0,10.0,9.390310764312742,0.6096892356872576,10.0,0.0,10.0,13.0,0,0.0,"{""Empty"": 173, ""Flower"": 1, ""Meat"": 3}",0,35.39999999999996,86.39999999999989,3.3000000000000016,5.509689235687254,3.0,3.0,0.0031889516635279346,0.003919753086419753,0.006728395061728395,50.847457627118644,,,,,7,"[""terminated"", ""fatigue_health_loss"", ""bottom_seen_quintile""]"
20051,standard,standard,0.5688888888888889,0.9688888888888889,terminated,health_zero_fatigue,189,153,36,79,True,67,80,0,80,0,0.0,{},56,0,0.0,697,189,3.687830687830688,45,1.0,10.0,9.703995084762576,0.29600491523742356,10.0,0.0,10.0,13.0,0,0.0,"{""Empty"": 186, ""Flower"": 1, ""Meat"": 2}",0,37.8,91.79999999999984,3.600000000000002,7.096004915237427,4.0,0.0,0.0030099941211052324,0.003718228031953522,0.0063326071169208424,42.32804232804233,,,,,7,"[""terminated"", ""fatigue_health_loss"", ""bottom_seen_quintile""]"
20069,standard,standard,0.5688888888888889,0.9466666666666667,terminated,health_zero_fatigue,196,154,42,74,True,67,75,0,75,0,0.0,{},54,0,0.0,654,196,3.336734693877551,42,1.0,10.0,9.73421874046325,0.2657812595367499,10.0,0.0,10.0,15.0,0,0.0,"{""Empty"": 191, ""Flower"": 2, ""Meat"": 3}",0,39.20000000000002,92.39999999999984,4.200000000000001,14.465781259536739,5.0,1.0,0.0029024943310657597,0.003694083694083694,0.006147186147186147,38.265306122448976,,,,,7,"[""terminated"", ""fatigue_health_loss"", ""bottom_seen_quintile""]"
20030,standard,standard,0.5822222222222222,0.9733333333333334,terminated,health_zero_fatigue,209,162,47,82,True,76,83,0,83,0,0.0,{},59,0,0.0,683,209,3.2679425837320575,40,1.0,10.0,9.234678983688351,0.7653210163116491,10.0,0.0,10.0,15.0,0,0.0,"{""Empty"": 206, ""Meat"": 3}",0,41.800000000000054,97.19999999999979,4.699999999999999,17.065321016311643,6.0,0.0,0.00278575225943647,0.003593964334705075,0.006008230452674897,39.71291866028708,,,,,7,"[""terminated"", ""fatigue_health_loss"", ""bottom_seen_quintile""]"
20079,standard,standard,0.5866666666666667,0.9777777777777777,terminated,health_zero_fatigue,215,172,43,83,True,65,84,0,84,0,0.0,{},53,0,0.0,773,215,3.5953488372093023,43,1.0,10.0,9.355027914047243,0.644972085952757,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 212, ""Meat"": 3}",0,43.00000000000007,103.19999999999973,4.300000000000001,10.144972085952755,6.0,0.0,0.0027286821705426356,0.0034108527131782944,0.005684754521963824,39.06976744186046,,,,,7,"[""terminated"", ""fatigue_health_loss"", ""bottom_seen_quintile""]"
20027,standard,standard,0.5911111111111111,0.96,terminated,health_zero_fatigue,186,154,32,87,True,71,88,0,88,0,0.0,{},61,0,0.0,814,186,4.376344086021505,36,1.0,10.0,9.46081805229187,0.5391819477081299,10.0,0.0,10.0,14.0,0,0.0,"{""Empty"": 184, ""Meat"": 2}",0,37.19999999999999,92.39999999999984,3.2000000000000015,7.739181947708127,4.0,0.0,0.0031780167264038235,0.0038383838383838384,0.006233766233766234,47.31182795698925,,,,,7,"[""terminated"", ""fatigue_health_loss"", ""bottom_seen_quintile""]"
20013,standard,standard,0.6355555555555555,0.9555555555555556,terminated,health_zero_fatigue,220,173,47,88,True,85,89,0,89,0,0.0,{},66,0,0.0,744,220,3.381818181818182,45,1.0,10.0,9.209332513809198,0.7906674861908023,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 216, ""Flower"": 1, ""Meat"": 3}",0,44.000000000000085,103.79999999999973,4.699999999999999,8.290667486190795,6.0,0.0,0.0028888888888888888,0.0036737315350032114,0.005523442517662171,40.45454545454545,,,,,7,"[""terminated"", ""fatigue_health_loss"", ""bottom_seen_quintile""]"
20061,standard,standard,0.5555555555555556,0.9911111111111112,terminated,health_zero_fatigue,212,166,46,109,True,114,110,0,110,0,0.0,{},87,0,0.0,982,212,4.632075471698113,40,1.0,10.0,9.40036921501159,0.5996307849884097,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 208, ""Flower"": 1, ""Meat"": 3}",0,42.40000000000006,99.59999999999977,4.6,13.99963078498841,6.0,0.0,0.002620545073375262,0.0033467202141900937,0.0059705488621151276,51.886792452830186,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20046,standard,standard,0.56,0.9866666666666667,terminated,health_zero_fatigue,182,145,37,90,True,76,91,0,91,0,0.0,{},65,0,0.0,648,182,3.5604395604395602,50,1.0,10.0,9.6949577331543,0.3050422668456996,10.0,0.0,10.0,14.0,0,0.0,"{""Empty"": 178, ""Flower"": 2, ""Meat"": 2}",0,36.39999999999998,86.99999999999989,3.700000000000002,13.205042266845698,4.0,0.0,0.0030769230769230774,0.003862068965517242,0.006804597701149426,50.0,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20082,standard,standard,0.5644444444444444,0.9911111111111112,terminated,health_zero_fatigue,179,145,34,86,True,72,87,0,87,0,0.0,{},60,0,0.0,718,179,4.011173184357542,36,1.0,10.0,9.760636806488034,0.23936319351196644,10.0,0.0,10.0,14.0,0,0.0,"{""Empty"": 175, ""Flower"": 1, ""Meat"": 3}",0,35.79999999999997,86.99999999999989,3.4000000000000017,14.039363193511962,4.0,2.0,0.003153320918684047,0.00389272030651341,0.006835249042145594,48.60335195530726,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20033,standard,standard,0.5688888888888889,0.9866666666666667,terminated,health_zero_fatigue,208,167,41,114,True,119,115,0,115,0,0.0,{},91,0,0.0,1007,208,4.841346153846154,41,1.0,10.0,9.00667700767518,0.9933229923248206,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 204, ""Flower"": 1, ""Meat"": 3}",0,41.60000000000005,100.19999999999976,4.100000000000001,15.093322992324834,6.0,0.0,0.002735042735042735,0.003406520292747838,0.0059081836327345314,55.28846153846154,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20063,standard,standard,0.5733333333333334,0.9822222222222222,terminated,health_zero_fatigue,214,173,41,91,True,77,92,0,92,0,0.0,{},64,0,0.0,790,214,3.691588785046729,38,1.0,10.0,8.831394910812376,1.1686050891876238,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 211, ""Meat"": 3}",0,42.80000000000007,103.79999999999973,4.100000000000001,10.46860508918762,6.0,0.0,0.002679127725856698,0.003314065510597303,0.005677585099550417,42.99065420560748,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20041,standard,standard,0.5822222222222222,1.0,terminated,health_zero_fatigue,190,152,38,89,True,65,90,0,90,0,0.0,{},54,0,0.0,877,190,4.61578947368421,40,1.0,10.0,9.731311511993406,0.2686884880065943,10.0,0.0,10.0,14.0,0,0.0,"{""Empty"": 185, ""Flower"": 2, ""Meat"": 3}",0,38.0,91.19999999999985,3.800000000000002,7.2686884880065925,4.0,2.0,0.0030643274853801167,0.003830409356725146,0.006578947368421052,47.36842105263158,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20064,standard,standard,0.5822222222222222,0.9911111111111112,terminated,health_zero_fatigue,203,163,40,74,True,53,75,0,75,0,0.0,{},44,0,0.0,625,203,3.0788177339901477,37,1.0,10.0,9.8790940284729,0.12090597152709925,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 199, ""Flower"": 1, ""Meat"": 3}",0,40.60000000000004,97.79999999999978,4.000000000000002,17.720905971527095,6.0,0.0,0.0028680897646414885,0.0035719154737559643,0.006080436264485345,36.94581280788177,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20065,standard,standard,0.5822222222222222,0.9911111111111112,terminated,health_zero_fatigue,201,160,41,70,True,52,71,0,71,0,0.0,{},44,0,0.0,660,201,3.283582089552239,38,1.0,10.0,9.62000713348389,0.3799928665161101,10.0,0.0,10.0,14.0,0,0.0,"{""Empty"": 197, ""Flower"": 1, ""Meat"": 3}",0,40.20000000000003,95.9999999999998,4.100000000000001,10.079992866516115,5.0,1.0,0.0028966279712548367,0.0036388888888888886,0.006194444444444445,35.32338308457712,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20066,standard,standard,0.5822222222222222,0.9866666666666667,terminated,health_zero_fatigue,221,173,48,108,True,109,109,0,109,0,0.0,{},84,0,0.0,970,221,4.389140271493213,44,1.0,10.0,9.894317150115963,0.10568284988403676,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 216, ""Flower"": 2, ""Meat"": 3}",0,44.20000000000009,103.79999999999973,4.799999999999999,7.305682849884033,6.0,0.0,0.0026344896933132226,0.003365446371226718,0.005703275529865126,49.321266968325794,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20093,standard,standard,0.5822222222222222,0.9822222222222222,terminated,health_zero_fatigue,216,173,43,92,True,75,93,0,93,0,0.0,{},62,0,0.0,851,216,3.939814814814815,43,1.0,10.0,9.93820657730102,0.06179342269897958,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 211, ""Flower"": 2, ""Meat"": 3}",0,43.200000000000074,103.79999999999973,4.300000000000001,8.761793422698975,6.0,0.0,0.0026954732510288066,0.003365446371226718,0.005677585099550417,43.05555555555556,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20073,standard,standard,0.5866666666666667,0.9955555555555555,terminated,health_zero_fatigue,213,170,43,68,True,51,69,0,69,0,0.0,{},43,0,0.0,598,213,2.807511737089202,47,1.0,10.0,9.41191754341126,0.5880824565887401,10.0,0.0,10.0,15.0,0,0.0,"{""Empty"": 208, ""Flower"": 2, ""Meat"": 3}",0,42.600000000000065,101.99999999999974,4.300000000000001,11.688082456588749,6.0,0.0,0.002754303599374022,0.0034509803921568627,0.005856209150326797,32.394366197183096,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20011,standard,standard,0.5911111111111111,0.9911111111111112,terminated,health_zero_fatigue,210,164,46,86,True,75,87,0,87,0,0.0,{},61,0,0.0,764,210,3.638095238095238,43,1.0,10.0,9.364178371429443,0.6358216285705574,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 207, ""Meat"": 3}",0,42.00000000000006,98.39999999999978,4.6,15.635821628570552,6.0,0.0,0.002814814814814815,0.003604336043360434,0.006043360433604337,41.42857142857143,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20035,standard,standard,0.5911111111111111,0.9911111111111112,terminated,health_zero_fatigue,203,164,39,99,True,102,100,0,100,0,0.0,{},81,0,0.0,968,203,4.768472906403941,34,1.0,10.0,9.827693939208983,0.1723060607910174,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 199, ""Flower"": 1, ""Meat"": 3}",0,40.60000000000004,98.39999999999978,3.900000000000002,17.272306060791013,6.0,0.0,0.0029118773946360155,0.003604336043360434,0.006043360433604337,49.26108374384236,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20056,standard,standard,0.5911111111111111,0.9822222222222222,terminated,health_zero_fatigue,185,152,33,82,True,64,83,0,83,0,0.0,{},55,0,0.0,716,185,3.8702702702702703,42,1.0,10.0,9.98350977897644,0.01649022102355957,10.0,0.0,10.0,14.0,0,0.0,"{""Empty"": 183, ""Meat"": 2}",0,36.999999999999986,91.19999999999985,3.3000000000000016,8.51649022102356,4.0,0.0,0.0031951951951951956,0.003888888888888889,0.006461988304093567,44.86486486486486,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20024,standard,standard,0.5955555555555555,0.9866666666666667,terminated,health_zero_fatigue,215,168,47,99,True,85,100,0,100,0,0.0,{},69,0,0.0,861,215,4.004651162790697,44,1.0,10.0,9.958538103103647,0.04146189689635271,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 210, ""Flower"": 2, ""Meat"": 3}",0,43.00000000000007,100.79999999999976,4.699999999999999,11.541461896896358,6.0,0.0,0.0027700258397932815,0.0035449735449735445,0.005873015873015873,46.51162790697674,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
20086,standard,standard,0.5955555555555555,1.0,terminated,health_zero_fatigue,216,171,45,75,True,60,76,0,76,0,0.0,{},49,0,0.0,613,216,2.837962962962963,44,1.0,10.0,9.645368242263798,0.35463175773620215,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 212, ""Flower"": 1, ""Meat"": 3}",0,43.200000000000074,102.59999999999974,4.5,10.054631757736209,6.0,0.0,0.0027572016460905347,0.0034827810266406757,0.005847953216374269,35.18518518518518,,,,,6,"[""terminated"", ""fatigue_health_loss""]"
